,userID,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,interest,personality,activity,budget,Rcuisine_str,Upayment_str,age_group,cuisine_list,community
10,U1011,23.724972,-99.152856,False,Abstemious,No preference,Family,Public,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
11,U1012,18.813348,-99.243697,False,Casual drinker,Formal,Family,Public,Single,Independent,Technology,Hard-worker,Student,Medium,Latin_american,"Cash, Bank_debit_cards",Middle Aged,['Latin_american'],2
12,U1013,22.174624,-100.993873,False,Abstemious,No preference,Friends,Public,Widow,Independent,Retro,Thrifty-protector,Professional,Medium,Japanese,"Mastercard-eurocard, Cash",Middle Aged,['Japanese'],0
13,U1014,23.751607,-99.170108,False,Abstemious,Unknown,Friends,Public,Single,Independent,,Hard-worker,Student,Medium,"Japanese, Fast_food",Cash,Adult,"['Japanese', 'Fast_food']",0
14,U1015,22.12676,-100.905209,True,Social drinker,Informal,Family,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],4
15,U1016,22.156247,-100.977402,False,Casual drinker,Informal,Friends,On foot,Single,Independent,Eco-friendly,Thrifty-protector,Student,Medium,"Cafe-coffee_shop, Contemporary, Regional, Fusion, Japanese, Portuguese, American, Indian-pakistani, Eastern_european, Lebanese, Moroccan, Barbecue, Polynesian, Polish",Cash,Adult,"['Cafe-coffee_shop', 'Contemporary', 'Regional', 'Fusion', 'Japanese', 'Portuguese', 'American', 'Indian-pakistani', 'Eastern_european', 'Lebanese', 'Moroccan', 'Barbecue', 'Polynesian', 'Polish']",0
16,U1017,18.952615,-99.201616,False,Casual drinker,Formal,Family,Public,Single,Unknown,Retro,Hunter-ostentatious,Professional,Medium,Chinese,"Cash, Visa",Adult,['Chinese'],2
17,U1018,22.190949,-100.917902,True,Casual drinker,Formal,Friends,Public,Single,Independent,Technology,Thrifty-protector,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],0
18,U1019,22.153385,-100.975294,False,Casual drinker,No preference,Family,Public,Single,Independent,Variety,Thrifty-protector,Student,Medium,Family,Cash,Middle Aged,['Family'],0
19,U1020,18.878189,-99.222969,False,Abstemious,No preference,Friends,Public,Single,Independent,Technology,Hard-worker,Professional,Medium,Mexican,"Cash, Bank_debit_cards",Middle Aged,['Mexican'],2
20,U1021,23.730569,-99.171883,False,Social drinker,No preference,Family,Car owner,Single,Dependent,,Hard-worker,Student,Medium,"Pizzeria, Regional, Chinese, Burgers",Cash,Middle Aged,"['Pizzeria', 'Regional', 'Chinese', 'Burgers']",3
21,U1022,22.146708,-100.964355,False,Casual drinker,Formal,Family,Car owner,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
22,U1023,23.752943,-99.166589,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,,Hard-worker,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],3
23,U1024,22.154021,-100.976028,Unknown,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,,Hard-worker,Unknown,Unknown,Afghan,,Senior,['Afghan'],0
24,U1025,22.125603,-100.907844,False,Social drinker,No preference,Family,Public,Single,Unknown,,Thrifty-protector,Student,Medium,Mexican,,Adult,['Mexican'],0
25,U1026,23.733,-99.133,False,Abstemious,Formal,Family,Public,Single,Independent,Technology,Hunter-ostentatious,Student,Medium,Mexican,"Cash, Bank_debit_cards",Middle Aged,['Mexican'],1
26,U1027,22.16515,-100.987015,True,Social drinker,No preference,Unknown,Public,Single,Independent,Retro,Thrifty-protector,Student,Low,Family,Cash,Middle Aged,['Family'],0
27,U1028,23.752874,-99.169242,False,Abstemious,No preference,Family,Public,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
28,U1029,22.151796,-100.989075,True,Casual drinker,Formal,Family,Public,Single,Independent,Variety,Conformist,Student,Low,Mexican,Cash,Adult,['Mexican'],0
29,U1030,18.844818,-99.182758,False,Casual drinker,Formal,Family,On foot,Single,Independent,Eco-friendly,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],2
30,U1031,23.735698,-99.159851,False,Abstemious,Informal,Solitary,Unknown,Married,Kids,,Hard-worker,Unemployed,Medium,Mexican,"Cash, American_express",Adult,['Mexican'],3
31,U1032,22.169184,-100.986843,False,Abstemious,Formal,Family,Public,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],0
32,U1033,22.15,-100.983,False,Social drinker,No preference,Family,On foot,Single,Unknown,,Hard-worker,Student,Low,Mexican,Cash,Adult,['Mexican'],0
33,U1034,22.137178,-101.013169,False,Casual drinker,Informal,Family,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
34,U1035,18.839671,-99.223897,True,Casual drinker,No preference,Friends,Car owner,Single,Independent,Variety,Hunter-ostentatious,Student,Medium,Family,"Cash, Visa",Middle Aged,['Family'],2
35,U1036,22.160572,-100.989418,False,Social drinker,Informal,Family,Public,Single,Independent,,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
36,U1037,22.15031,-100.900536,False,Social drinker,No preference,Family,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,Mexican,Cash,Adult,['Mexican'],4
37,U1038,22.125786,-100.943705,True,Social drinker,No preference,Family,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,Mexican,Cash,Senior,['Mexican'],0
38,U1039,23.738067,-99.139906,False,Social drinker,No preference,Friends,Unknown,Single,Independent,,Hard-worker,Student,Medium,Regional,Cash,Middle Aged,['Regional'],1
39,U1040,18.895187,-99.18039,False,Abstemious,No preference,Friends,Public,Single,Independent,,Thrifty-protector,Student,Medium,Pizzeria,Cash,Adult,['Pizzeria'],2
40,U1041,18.935191,-99.23624,False,Abstemious,No preference,Friends,On foot,Single,Independent,Eco-friendly,Hunter-ostentatious,Professional,Medium,Contemporary,"Bank_debit_cards, Cash, American_express, Visa",Middle Aged,['Contemporary'],2
41,U1042,18.925773,-99.219589,False,Abstemious,No preference,Family,Car owner,Single,Independent,Technology,Thrifty-protector,Student,High,Mexican,Bank_debit_cards,Senior,['Mexican'],2
42,U1043,23.77103,-99.167082,False,Abstemious,No preference,Solitary,Public,Single,Independent,Technology,Hard-worker,Student,Medium,Latin_american,Cash,Middle Aged,['Latin_american'],3
43,U1044,18.95298,-99.260789,True,Social drinker,Informal,Family,Car owner,Married,Kids,Variety,Thrifty-protector,Professional,Medium,Mexican,"Visa, Bank_debit_cards, Cash, Mastercard-eurocard",Senior,['Mexican'],2
44,U1045,22.156724,-100.984268,False,Casual drinker,Elegant,Friends,Car owner,Single,Independent,Technology,Thrifty-protector,Student,High,"Middle_eastern, Mexican, Mongolian, Moroccan",Cash,Adult,"['Middle_eastern', 'Mexican', 'Mongolian', 'Moroccan']",0
45,U1046,22.144415,-100.933097,False,Social drinker,No preference,Friends,Car owner,Single,Independent,Retro,Hard-worker,Student,Medium,Bar,Cash,Adult,['Bar'],0
46,U1047,22.142429,-100.949147,False,Abstemious,No preference,Family,Public,Single,Independent,Retro,Thrifty-protector,Student,Medium,American,Cash,Adult,['American'],0
47,U1048,22.142208,-101.022785,True,Casual drinker,No preference,Unknown,Public,Single,Independent,Eco-friendly,Thrifty-protector,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],0
48,U1049,22.15,-100.983,False,Casual drinker,Informal,Solitary,Public,Single,Unknown,,Hard-worker,Student,Unknown,Mexican,Cash,Adult,['Mexican'],0
49,U1050,23.758815,-99.171216,False,Social drinker,No preference,Family,Car owner,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
50,U1051,18.877719,-99.22299,False,Casual drinker,No preference,Family,Public,Single,Independent,Variety,Thrifty-protector,Professional,Medium,Mexican,"Visa, Cash",Middle Aged,['Mexican'],2
51,U1052,22.138055,-100.936005,True,Social drinker,No preference,Family,On foot,Single,Independent,,Conformist,Student,Low,Bakery,Cash,Adult,['Bakery'],4
52,U1053,22.175833,-100.986671,False,Casual drinker,Informal,Family,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,Mexican,Cash,Adult,['Mexican'],0
53,U1054,22.150683,-100.975342,False,Social drinker,Formal,Family,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
54,U1055,22.143289,-100.987683,False,Abstemious,No preference,Family,Car owner,Married,Dependent,,Hard-worker,Professional,Medium,Breakfast-brunch,Cash,Senior,['Breakfast-brunch'],0
55,U1056,22.168997,-100.974376,False,Social drinker,Informal,Family,On foot,Single,Independent,,Hard-worker,Student,Medium,Mexican,Cash,Senior,['Mexican'],0
56,U1057,22.196624,-100.91217,True,Casual drinker,Formal,Friends,Public,Single,Independent,Technology,Hunter-ostentatious,Student,Medium,American,"Cash, Visa",Middle Aged,['American'],0
57,U1058,22.205802,-100.986081,False,Abstemious,Formal,Family,Public,Single,Independent,Variety,Hard-worker,Student,Low,Cuban,Cash,Adult,['Cuban'],0
58,U1059,18.988278,-99.097023,False,Abstemious,Formal,Friends,On foot,Single,Independent,Technology,Thrifty-protector,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],0
59,U1060,23.715238,-99.158864,False,Casual drinker,Formal,Family,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,"Burgers, Cafeteria, Pizzeria, Juice, American, Tex-mex, Spanish, Mexican, Fast_food, Cafe-coffee_shop, Soup, Hot_dogs, Italian",Cash,Adult,"['Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-mex', 'Spanish', 'Mexican', 'Fast_food', 'Cafe-coffee_shop', 'Soup', 'Hot_dogs', 'Italian']",3
60,U1061,22.140388,-100.937321,False,Social drinker,No preference,Friends,Car owner,Single,Independent,,Hard-worker,Professional,Medium,Mexican,"Cash, Bank_debit_cards",Adult,['Mexican'],0
61,U1062,22.195826,-101.006317,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,"Visa, Cash",Middle Aged,['Mexican'],0
62,U1063,23.745096,-99.164357,False,Casual drinker,Formal,Family,Public,Single,Independent,Eco-friendly,Conformist,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
63,U1064,22.139511,-100.957002,False,Casual drinker,Formal,Solitary,Public,Single,Independent,Variety,Hunter-ostentatious,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
64,U1065,23.733665,-99.105617,False,Abstemious,Formal,Friends,Public,Single,Independent,Technology,Conformist,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],1
65,U1066,18.890695,-99.157104,False,Abstemious,Informal,Solitary,Public,Single,Unknown,Technology,Thrifty-protector,Student,Low,Mexican,"Cash, Bank_debit_cards",Middle Aged,['Mexican'],2
66,U1067,23.752269,-99.168605,False,Abstemious,No preference,Family,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
67,U1068,23.752269,-99.168605,False,Casual drinker,Informal,Friends,Public,Single,Independent,Technology,Thrifty-protector,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],3
68,U1069,19.347641,-99.130229,False,Social drinker,No preference,Family,Public,Single,Independent,Variety,Thrifty-protector,Professional,Medium,Mexican,"Mastercard-eurocard, Cash",Middle Aged,['Mexican'],4
69,U1070,23.753237,-99.166868,False,Casual drinker,Informal,Friends,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,Mexican,Cash,Adult,['Mexican'],3
70,U1071,22.154339,-100.975342,False,Abstemious,Formal,Friends,Car owner,Single,Independent,,Hunter-ostentatious,Student,High,Mexican,Cash,Senior,['Mexican'],0
71,U1072,18.86826,-99.212033,False,Casual drinker,No preference,Family,Public,Single,Independent,Eco-friendly,Thrifty-protector,Student,Medium,Mexican,"Bank_debit_cards, Cash",Middle Aged,['Mexican'],2
72,U1073,22.15,-100.983,False,Abstemious,Informal,Solitary,Car owner,Widow,Kids,,Hard-worker,Unemployed,Medium,American,Cash,Middle Aged,['American'],0
73,U1074,18.917,-99.25,True,Casual drinker,No preference,Family,Car owner,Single,Kids,Eco-friendly,Hard-worker,Professional,Medium,Sushi,"Bank_debit_cards, Cash",Senior,['Sushi'],2
74,U1075,22.167575,-100.960364,False,Casual drinker,Informal,Family,Car owner,Single,Independent,Technology,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
75,U1076,22.156469,-100.98554,False,Social drinker,Elegant,Family,Public,Married,Kids,Technology,Thrifty-protector,Student,Medium,Mexican,"Visa, Cash, Bank_debit_cards",Middle Aged,['Mexican'],0
76,U1077,22.156469,-100.98554,False,Social drinker,Elegant,Family,Public,Married,Kids,Technology,Thrifty-protector,Student,Medium,Mexican,"Visa, Cash, Bank_debit_cards",Middle Aged,['Mexican'],0
77,U1078,22.172109,-100.963199,True,Social drinker,Informal,Solitary,Car owner,Single,Independent,Variety,Hard-worker,Professional,Medium,Mexican,"Visa, Bank_debit_cards, Cash",Middle Aged,['Mexican'],0
78,U1079,18.917,-99.25,False,Abstemious,Formal,Family,Public,Single,Independent,Technology,Thrifty-protector,Unknown,Medium,Mexican,Cash,Adult,['Mexican'],2
79,U1080,23.743793,-99.163397,True,Social drinker,Formal,Friends,Car owner,Single,Independent,Variety,Hard-worker,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],3
80,U1081,22.207749,-100.942383,False,Casual drinker,Informal,Family,Public,Single,Independent,Variety,Hard-worker,Student,Low,Mexican,Cash,Adult,['Mexican'],0
81,U1082,23.753061,-99.166095,True,Abstemious,Informal,Friends,Public,Single,Unknown,Variety,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
82,U1083,22.13392,-101.028373,False,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,,Hard-worker,Unknown,Unknown,Mexican,Cash,Middle Aged,['Mexican'],0
83,U1084,22.172524,-101.005758,True,Casual drinker,Formal,Family,Public,Single,Independent,Variety,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
84,U1085,22.196787,-100.936335,False,Abstemious,No preference,Solitary,Car owner,Single,Independent,Technology,Thrifty-protector,Student,Unknown,Mexican,Cash,Middle Aged,['Mexican'],0
85,U1086,22.157281,-100.98444,False,Social drinker,No preference,Family,Car owner,Single,Independent,Variety,Hunter-ostentatious,Student,Medium,Italian,"Visa, Bank_debit_cards, Cash",Adult,['Italian'],0
86,U1087,23.753336,-99.167984,False,Abstemious,No preference,Solitary,Public,Single,Independent,Variety,Thrifty-protector,Student,Medium,Chinese,Cash,Middle Aged,['Chinese'],3
87,U1088,22.142748,-100.940664,False,Social drinker,Informal,Family,On foot,Single,Independent,,Hard-worker,Student,Medium,Mexican,,Adult,['Mexican'],0
88,U1089,22.162562,-100.99313,True,Casual drinker,Informal,Family,Public,Single,Independent,Variety,Conformist,Student,Low,Mexican,Cash,Adult,['Mexican'],0
89,U1090,22.158473,-100.984268,False,Social drinker,No preference,Friends,Car owner,Single,Independent,Variety,Thrifty-protector,Student,Medium,Tex-mex,Cash,Middle Aged,['Tex-mex'],0
90,U1091,22.154677,-100.949013,False,Casual drinker,No preference,Family,Car owner,Single,Independent,Eco-friendly,Thrifty-protector,Student,Low,"American, Mexican",Cash,Middle Aged,"['American', 'Mexican']",0
91,U1092,22.125365,-100.947888,False,Abstemious,Formal,Solitary,Public,Single,Dependent,Variety,Thrifty-protector,Unknown,Medium,Game,Cash,Adult,['Game'],0
92,U1093,18.871654,-99.183251,True,Casual drinker,No preference,Family,Car owner,Single,Independent,Variety,Thrifty-protector,Student,Medium,Japanese,"American_express, Visa",Adult,['Japanese'],2
93,U1094,23.73944,-99.160548,False,Abstemious,Informal,Friends,Public,Single,Independent,Variety,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],4
94,U1095,22.179865,-101.018547,False,Abstemious,Formal,Family,Public,Married,Independent,Variety,Thrifty-protector,Student,Medium,Italian,Cash,Middle Aged,['Italian'],0
95,U1096,22.1455,-100.939593,False,Abstemious,Formal,Family,Public,Single,Independent,Eco-friendly,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
96,U1097,22.145471,-100.939588,False,Abstemious,Formal,Family,Public,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
97,U1098,22.182571,-100.963232,False,Social drinker,Formal,Family,Public,Single,Independent,,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
98,U1099,22.184862,-100.970535,True,Social drinker,Informal,Family,Public,Single,Independent,Technology,Conformist,Student,High,Mexican,"Cash, Visa",Middle Aged,['Mexican'],0
99,U1100,18.879729,-99.067106,False,Casual drinker,Formal,Friends,Public,Single,Independent,Eco-friendly,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],2
100,U1101,22.150891,-100.974891,False,Casual drinker,No preference,Friends,Car owner,Single,Independent,Eco-friendly,Hunter-ostentatious,Student,Low,"Chinese, Italian, Doughnuts, Afghan, Mexican, Burgers, Latin_american, Contemporary, Cafe-coffee_shop, Family, Cafeteria, Bar, Australian, Hot_dogs, Diner",Cash,Middle Aged,"['Chinese', 'Italian', 'Doughnuts', 'Afghan', 'Mexican', 'Burgers', 'Latin_american', 'Contemporary', 'Cafe-coffee_shop', 'Family', 'Cafeteria', 'Bar', 'Australian', 'Hot_dogs', 'Diner']",0
101,U1102,22.137131,-100.941151,False,Social drinker,No preference,Friends,On foot,Single,Independent,Eco-friendly,Conformist,Student,Low,Pizzeria,Cash,Middle Aged,['Pizzeria'],4
102,U1103,23.752265,-99.16859,False,Abstemious,Formal,Friends,Public,Single,Independent,Technology,Hard-worker,Professional,Medium,Mexican,"Cash, Bank_debit_cards",Middle Aged,['Mexican'],3
103,U1104,22.149005,-100.978153,True,Social drinker,No preference,Family,Car owner,Single,Independent,Technology,Hunter-ostentatious,Student,Medium,Italian,"Visa, Cash",Adult,['Italian'],0
104,U1105,22.120019,-100.950991,False,Social drinker,Formal,Family,Public,Single,Independent,Variety,Hard-worker,Student,Medium,Cafeteria,Cash,Adult,['Cafeteria'],0
105,U1106,18.927072,-99.173584,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,Technology,Hard-worker,Professional,Medium,Barbecue,"Bank_debit_cards, Cash",Senior,['Barbecue'],0
106,U1107,23.742409,-99.171889,False,Abstemious,No preference,Friends,Car owner,Single,Independent,Variety,Hard-worker,Unknown,High,Mexican,"Bank_debit_cards, Cash",Middle Aged,['Mexican'],3
107,U1108,22.143524,-100.987562,False,Abstemious,Informal,Solitary,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,"Cafe-coffee_shop, Sushi, Latin_american, Deli-sandwiches, Mexican, Hot_dogs, American, Fast_food, Burgers, Asian, Pizzeria, Chinese, Dessert-ice_cream, Cafeteria, Japanese, Game, Family, Seafood","Visa, Cash, Mastercard-eurocard",Middle Aged,"['Cafe-coffee_shop', 'Sushi', 'Latin_american', 'Deli-sandwiches', 'Mexican', 'Hot_dogs', 'American', 'Fast_food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-ice_cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood']",0
108,U1109,22.303308,-101.05468,False,Abstemious,Formal,Solitary,Public,Single,Independent,Eco-friendly,Thrifty-protector,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],0
109,U1110,18.871678,-99.183263,False,Abstemious,No preference,Family,Car owner,Single,Independent,Variety,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],2
110,U1111,22.143078,-100.908523,True,Casual drinker,Formal,Friends,Car owner,Single,Independent,,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],4
111,U1112,22.143078,-100.908523,True,Casual drinker,Formal,Friends,Car owner,Single,Independent,,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
112,U1113,22.137343,-100.913935,False,Casual drinker,Formal,Family,Public,Single,Independent,,Thrifty-protector,Student,Medium,Burgers,"Visa, Cash",Adult,['Burgers'],0
113,U1114,22.177726,-101.014094,False,Abstemious,No preference,Family,On foot,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
114,U1115,22.138127,-100.920512,True,Social drinker,Elegant,Friends,Public,Single,Independent,Variety,Hard-worker,Student,Low,Regional,Cash,Adult,['Regional'],4
115,U1116,22.156469,-100.98554,False,Social drinker,Formal,Family,Public,Married,Kids,Technology,Thrifty-protector,Student,Medium,Mexican,"Cash, Bank_debit_cards, Visa",Middle Aged,['Mexican'],0
116,U1117,18.875641,-99.220737,False,Abstemious,No preference,Friends,Public,Single,Independent,Technology,Thrifty-protector,Professional,Medium,Turkish,"Bank_debit_cards, Cash",Middle Aged,['Turkish'],2
117,U1118,18.940062,-99.228172,True,Casual drinker,Informal,Friends,Public,Single,Independent,Technology,Thrifty-protector,Student,Medium,Pizzeria,Cash,Middle Aged,['Pizzeria'],2
118,U1119,18.96479,-99.260017,False,Abstemious,Formal,Family,Public,Single,Independent,Eco-friendly,Thrifty-protector,Student,Medium,Mexican,Cash,Adult,['Mexican'],2
119,U1120,22.121857,-100.904279,False,Abstemious,Informal,Friends,Public,Single,Independent,Variety,Hard-worker,Student,Low,Mexican,Cash,Senior,['Mexican'],0
120,U1121,18.871674,-99.183253,False,Social drinker,No preference,Family,Public,Married,Independent,Variety,Thrifty-protector,Working-class,Medium,Mexican,"Cash, Bank_debit_cards",Middle Aged,['Mexican'],2
121,U1122,22.169601,-100.991821,Unknown,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,,Hard-worker,Unknown,Unknown,Afghan,,Senior,['Afghan'],0
122,U1123,23.753112,-99.168567,False,Abstemious,Informal,Family,Unknown,Single,Independent,Technology,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],3
123,U1124,22.137072,-100.918865,False,Casual drinker,Informal,Friends,Public,Single,Independent,,Hard-worker,Student,Low,Mexican,Cash,Adult,['Mexican'],0
124,U1125,22.19204,-100.956935,False,Casual drinker,Formal,Friends,Public,Single,Independent,Technology,Hard-worker,Student,Low,Mexican,Cash,Adult,['Mexican'],0
125,U1126,22.15421,-100.942233,False,Casual drinker,Formal,Friends,On foot,Single,Independent,Technology,Hard-worker,Student,Low,Mexican,Cash,Adult,['Mexican'],0
126,U1127,18.943935,-99.206532,False,Abstemious,No preference,Solitary,Public,Single,Independent,Variety,Hard-worker,Student,Low,Mexican,Cash,Adult,['Mexican'],2
127,U1128,22.187236,-100.994213,False,Casual drinker,No preference,Friends,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,"Cafeteria, Hot_dogs, Pizzeria, Mexican",Cash,Middle Aged,"['Cafeteria', 'Hot_dogs', 'Pizzeria', 'Mexican']",0
128,U1129,23.728798,-99.134047,False,Casual drinker,No preference,Friends,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],1
129,U1130,23.733,-99.133,Unknown,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,,Hard-worker,Unknown,Unknown,Mexican,,Middle Aged,['Mexican'],1
130,U1131,22.138245,-100.910948,True,Social drinker,No preference,Friends,Car owner,Married,Kids,Eco-friendly,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],4
131,U1132,22.15,-100.983,False,Casual drinker,Informal,Solitary,Public,Single,Unknown,,Hard-worker,Student,Unknown,Mexican,Cash,Adult,['Mexican'],0
132,U1133,18.886698,-99.114979,False,Abstemious,No preference,Family,Car owner,Single,Independent,,Hard-worker,Student,Medium,Mexican,"Bank_debit_cards, Cash",Adult,['Mexican'],2
133,U1134,22.149654,-100.99861,False,Casual drinker,No preference,Family,Public,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Adult,['Mexican'],0
