,placeID,latitude,longitude,name,state,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,Rcuisine_str,Rpayment_str,parking_lot_str
95,132922,22.1511348,-100.9823115,cafe punta del cielo,Unknown,No_alcohol_served,Permitted,Formal,Completely,Medium,Familiar,F,Closed,None,Cafeteria,Cash,None
96,132715,23.7324226,-99.1586602,tacos de la estacion,Unknown,No_alcohol_served,None,Informal,No_accessibility,Low,Quiet,F,Open,None,Mexican,Cash,None
97,135027,22.147145,-100.974494,Restaurant Orizatlan,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Mexican,"Cash, visa, mastercard-eurocard, american_express",None
98,132767,18.8820871,-99.1630268,Restaurant Familiar El Chino,Morelos,Wine-beer,Permitted,Casual,Partially,Medium,Familiar,F,Open,Variety,Vietnamese,"Cash, visa, american_express",Yes
99,135039,22.145893,-100.97487,Restaurant de Mariscos de Picon,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,Low,Familiar,F,Closed,None,Seafood,Cash,Yes
100,134996,18.923429,-99.216413,Sanborns Casa Piedra,Morelos,Wine-beer,Only at bar,Informal,No_accessibility,Medium,Familiar,T,Closed,Internet,Unknown,Cash,Yes
101,132755,22.153324,-101.0195459,La Estrella de Dimas,San Luis Potosi,No_alcohol_served,None,Informal,Partially,Medium,Familiar,F,Closed,Variety,Mexican,"Cash, visa, american_express, bank_debit_cards",Public
102,135043,22.185756,-100.944518,pizza clasica,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,"Fast_food, pizzeria",Cash,None
103,132654,23.7355234,-99.1295877,Carnitas Mata  Calle 16 de Septiembre,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
104,135049,22.135011,-101.0286,Restaurante de Mariscos la Langosta,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Seafood,Cash,None
105,135073,22.147175,-100.974269,Restaurante Bar El Gallinero,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,"Bar, bar_pub_brewery","Cash, visa, mastercard-eurocard",Yes
106,132560,23.7523041,-99.1669133,puesto de gorditas,Tamaulipas,No_alcohol_served,Permitted,Informal,No_accessibility,Low,Familiar,F,Open,None,Regional,Cash,Public
107,134976,18.916654,-99.22711,Log Yin,Unknown,No_alcohol_served,None,Informal,No_accessibility,Low,Familiar,F,Closed,None,"Mexican, mediterranean, burgers","Visa, mastercard-eurocard, american_express, checks",Yes
108,135075,22.139573,-100.991564,Mariscos El Pescador,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Seafood,Cash,Yes
109,132660,23.7529428,-99.1646791,carnitas mata calle Emilio Portes Gil,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
110,132921,22.150305,-100.9891337,crudalia,Unknown,Wine-beer,Section,Casual,Completely,Low,Quiet,F,Open,None,Bar,Cash,None
111,132594,23.7521677,-99.165709,tacos de barbacoa enfrente del Tec,Unknown,No_alcohol_served,Not permitted,Informal,Completely,Low,Familiar,F,Open,None,Mexican,Cash,Public
112,134986,18.928798,-99.239513,Restaurant Las Mananitas,Morelos,Wine-beer,None,Formal,No_accessibility,High,Familiar,F,Closed,None,International,Unknown,Yes
113,135062,22.153703,-100.979033,Restaurante El Cielo Potosino,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,Yes
114,132766,18.9101777,-99.2315438,Mikasa,Morelos,Wine-beer,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Japanese,Cash,Yes
115,135088,18.8760113,-99.2198896,Cafeteria cenidet,Morelos,No_alcohol_served,Not permitted,Informal,No_accessibility,Low,Quiet,F,Closed,None,Cafeteria,Cash,Public
116,135058,22.165587,-101.001273,Restaurante Tiberius,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,T,Closed,None,Pizzeria,"Cash, visa, mastercard-eurocard",Public
117,132754,22.1477379,-100.9906163,Cabana Huasteca,San Luis Potosi,No_alcohol_served,None,Informal,Partially,Medium,Familiar,F,Closed,None,Mexican,Cash,None
118,132584,23.7523648,-99.1652879,Gorditas Dona Tota,Unknown,No_alcohol_served,Not permitted,Informal,Completely,Medium,Familiar,T,Closed,None,Mexican,Cash,Yes
119,135032,22.152481,-100.973486,Cafeteria y Restaurant El Pacifico,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,Medium,Familiar,F,Closed,None,"Cafeteria, contemporary","Cash, visa, mastercard-eurocard",Public
120,135028,22.146658,-100.987219,La Virreina,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Mexican,"Cash, visa, mastercard-eurocard, american_express",None
121,135085,22.150802,-100.98268,Tortas Locas Hipocampo,San Luis Potosi,No_alcohol_served,Not permitted,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Fast_food,Cash,Public
122,132663,23.7525107,-99.1669536,tacos abi,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Mexican,Unknown,None
123,132626,23.7375834,-99.1351318,la perica hamburguesa,Tamaulipas,No_alcohol_served,None,Informal,Completely,Medium,Familiar,T,Closed,None,Italian,"Cash, american_express",Yes
124,132583,18.9222904,-99.234332,McDonalds Centro,Morelos,No_alcohol_served,Not permitted,Informal,Partially,Low,Familiar,T,Closed,None,American,"Cash, visa, mastercard-eurocard, bank_debit_cards",None
125,132866,22.1412198,-100.9313107,Chaires,San Luis Potosi,No_alcohol_served,Not permitted,Informal,Completely,Medium,Familiar,F,Closed,None,"Bakery, cafeteria",Cash,Yes
126,135072,22.149192,-101.002936,Sushi Itto,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Japanese,"Cash, visa, mastercard-eurocard, american_express",None
127,135109,18.9217848,-99.2353499,Paniroles,Unknown,Wine-beer,Not permitted,Informal,No_accessibility,Medium,Quiet,F,Closed,Internet,Italian,Cash,None
128,135019,18.875011,-99.159422,Restaurant Bar Coty y Pablo,Morelos,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Bar,Unknown,None
129,132877,22.1353639,-100.9349477,sirloin stockade,Unknown,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
