,userID,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,Rcuisine_str,Upayment_str
28,U1029,22.151796,-100.989075,True,Casual drinker,Formal,Family,Public,Single,Independent,1990,Variety,Conformist,Catholic,Student,White,58,Low,1.6,Mexican,Cash
29,U1030,18.844818,-99.182758,False,Casual drinker,Formal,Family,On foot,Single,Independent,1991,Eco-friendly,Hard-worker,Catholic,Student,Black,64,Medium,1.75,Mexican,Cash
30,U1031,23.735698,-99.159851,False,Abstemious,Informal,Solitary,Unknown,Married,Kids,1992,None,Hard-worker,Catholic,Unemployed,White,40,Medium,1.6,Mexican,"Cash, American_express"
31,U1032,22.169184,-100.986843,False,Abstemious,Formal,Family,Public,Single,Independent,1989,Variety,Hard-worker,Catholic,Student,Blue,40,Medium,1.75,Mexican,Cash
32,U1033,22.15,-100.983,False,Social drinker,No preference,Family,On foot,Single,Unknown,1991,None,Hard-worker,None,Student,Yellow,54,Low,1.6,Mexican,Cash
33,U1034,22.137178,-101.013169,False,Casual drinker,Informal,Family,Public,Single,Independent,1990,Technology,Thrifty-protector,Catholic,Student,Yellow,50,Medium,1.58,Mexican,Cash
34,U1035,18.839671,-99.223897,True,Casual drinker,No preference,Friends,Car owner,Single,Independent,1985,Variety,Hunter-ostentatious,None,Student,Red,69,Medium,1.75,Family,"Cash, Visa"
35,U1036,22.160572,-100.989418,False,Social drinker,Informal,Family,Public,Single,Independent,1991,None,Hard-worker,Catholic,Student,Blue,76,Medium,1.7,Mexican,Cash
36,U1037,22.15031,-100.900536,False,Social drinker,No preference,Family,Public,Single,Independent,1990,Variety,Thrifty-protector,Catholic,Student,Blue,52,Low,1.5,Mexican,Cash
37,U1038,22.125786,-100.943705,True,Social drinker,No preference,Family,Public,Single,Independent,1930,Variety,Thrifty-protector,Catholic,Student,Blue,97,Low,1.83,Mexican,Cash
38,U1039,23.738067,-99.139906,False,Social drinker,No preference,Friends,Unknown,Single,Independent,1989,None,Hard-worker,None,Student,Yellow,83,Medium,1.73,Regional,Cash
39,U1040,18.895187,-99.18039,False,Abstemious,No preference,Friends,Public,Single,Independent,1994,None,Thrifty-protector,Catholic,Student,Blue,73,Medium,1.64,Pizzeria,Cash
40,U1041,18.935191,-99.23624,False,Abstemious,No preference,Friends,On foot,Single,Independent,1985,Eco-friendly,Hunter-ostentatious,Catholic,Professional,White,40,Medium,1.62,Contemporary,"Bank_debit_cards, Cash, American_express, Visa"
41,U1042,18.925773,-99.219589,False,Abstemious,No preference,Family,Car owner,Single,Independent,1943,Technology,Thrifty-protector,Christian,Student,Yellow,40,High,1.4,Mexican,Bank_debit_cards
42,U1043,23.77103,-99.167082,False,Abstemious,No preference,Solitary,Public,Single,Independent,1989,Technology,Hard-worker,None,Student,White,60,Medium,1.64,Latin_american,Cash
43,U1044,18.95298,-99.260789,True,Social drinker,Informal,Family,Car owner,Married,Kids,1969,Variety,Thrifty-protector,Catholic,Professional,Orange,85,Medium,1.73,Mexican,"Visa, Bank_debit_cards, Cash, Mastercard-eurocard"
44,U1045,22.156724,-100.984268,False,Casual drinker,Elegant,Friends,Car owner,Single,Independent,1991,Technology,Thrifty-protector,Mormon,Student,Orange,68,High,1.6,"Middle_eastern, Mexican, Mongolian, Moroccan",Cash
45,U1046,22.144415,-100.933097,False,Social drinker,No preference,Friends,Car owner,Single,Independent,1990,Retro,Hard-worker,Catholic,Student,Black,82,Medium,1.84,Bar,Cash
46,U1047,22.142429,-100.949147,False,Abstemious,No preference,Family,Public,Single,Independent,1992,Retro,Thrifty-protector,Catholic,Student,Purple,60,Medium,1.63,American,Cash
47,U1048,22.142208,-101.022785,True,Casual drinker,No preference,Unknown,Public,Single,Independent,1988,Eco-friendly,Thrifty-protector,None,Student,Green,65,Medium,1.7,Mexican,Cash
48,U1049,22.15,-100.983,False,Casual drinker,Informal,Solitary,Public,Single,Unknown,1991,None,Hard-worker,None,Student,Blue,55,Unknown,1.6,Mexican,Cash
49,U1050,23.758815,-99.171216,False,Social drinker,No preference,Family,Car owner,Single,Independent,1989,Variety,Hard-worker,None,Student,Green,73,Medium,1.71,Mexican,Cash
50,U1051,18.877719,-99.22299,False,Casual drinker,No preference,Family,Public,Single,Independent,1979,Variety,Thrifty-protector,None,Professional,Blue,74,Medium,1.76,Mexican,"Visa, Cash"
51,U1052,22.138055,-100.936005,True,Social drinker,No preference,Family,On foot,Single,Independent,1990,None,Conformist,Catholic,Student,Blue,85,Low,1.8,Bakery,Cash
52,U1053,22.175833,-100.986671,False,Casual drinker,Informal,Family,Public,Single,Independent,1990,Variety,Thrifty-protector,Catholic,Student,Red,66,Low,1.72,Mexican,Cash
53,U1054,22.150683,-100.975342,False,Social drinker,Formal,Family,Public,Single,Independent,1992,Technology,Thrifty-protector,Catholic,Student,Blue,59,Medium,1.7,Mexican,Cash
54,U1055,22.143289,-100.987683,False,Abstemious,No preference,Family,Car owner,Married,Dependent,1952,None,Hard-worker,Catholic,Professional,Blue,70,Medium,1.66,Breakfast-brunch,Cash
55,U1056,22.168997,-100.974376,False,Social drinker,Informal,Family,On foot,Single,Independent,1930,None,Hard-worker,Catholic,Student,Yellow,61,Medium,1.62,Mexican,Cash
56,U1057,22.196624,-100.91217,True,Casual drinker,Formal,Friends,Public,Single,Independent,1989,Technology,Hunter-ostentatious,Catholic,Student,Yellow,69,Medium,1.83,American,"Cash, Visa"
57,U1058,22.205802,-100.986081,False,Abstemious,Formal,Family,Public,Single,Independent,1991,Variety,Hard-worker,Catholic,Student,Red,74,Low,1.78,Cuban,Cash
58,U1059,18.988278,-99.097023,False,Abstemious,Formal,Friends,On foot,Single,Independent,1987,Technology,Thrifty-protector,Catholic,Student,Blue,57,Medium,1.69,Mexican,Cash
59,U1060,23.715238,-99.158864,False,Casual drinker,Formal,Family,Public,Single,Independent,1991,Technology,Thrifty-protector,Catholic,Student,Blue,82,Medium,1.84,"Burgers, Cafeteria, Pizzeria, Juice, American, Tex-mex, Spanish, Mexican, Fast_food, Cafe-coffee_shop, Soup, Hot_dogs, Italian",Cash
60,U1061,22.140388,-100.937321,False,Social drinker,No preference,Friends,Car owner,Single,Independent,1990,None,Hard-worker,Catholic,Professional,Blue,40,Medium,1.76,Mexican,"Cash, Bank_debit_cards"
61,U1062,22.195826,-101.006317,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,1985,Variety,Hard-worker,Catholic,Student,Yellow,88,Medium,1.68,Mexican,"Visa, Cash"
62,U1063,23.745096,-99.164357,False,Casual drinker,Formal,Family,Public,Single,Independent,1988,Eco-friendly,Conformist,Catholic,Student,Red,80,Medium,1.78,Mexican,Cash
63,U1064,22.139511,-100.957002,False,Casual drinker,Formal,Solitary,Public,Single,Independent,1991,Variety,Hunter-ostentatious,None,Student,Blue,94,Medium,1.77,Mexican,Cash
64,U1065,23.733665,-99.105617,False,Abstemious,Formal,Friends,Public,Single,Independent,1989,Technology,Conformist,Catholic,Student,Green,55,Medium,1.72,Mexican,Cash
65,U1066,18.890695,-99.157104,False,Abstemious,Informal,Solitary,Public,Single,Unknown,1986,Technology,Thrifty-protector,Catholic,Student,Green,45,Low,1.45,Mexican,"Cash, Bank_debit_cards"
66,U1067,23.752269,-99.168605,False,Abstemious,No preference,Family,Public,Single,Independent,1987,Technology,Thrifty-protector,Christian,Student,Green,92,Medium,1.73,Mexican,Cash
67,U1068,23.752269,-99.168605,False,Casual drinker,Informal,Friends,Public,Single,Independent,1988,Technology,Thrifty-protector,Catholic,Student,Blue,72,Low,1.57,Mexican,Cash
68,U1069,19.347641,-99.130229,False,Social drinker,No preference,Family,Public,Single,Independent,1983,Variety,Thrifty-protector,Catholic,Professional,Black,60,Medium,1.56,Mexican,"Mastercard-eurocard, Cash"
69,U1070,23.753237,-99.166868,False,Casual drinker,Informal,Friends,Public,Single,Independent,1991,Variety,Thrifty-protector,Catholic,Student,Green,47,Low,1.6,Mexican,Cash
70,U1071,22.154339,-100.975342,False,Abstemious,Formal,Friends,Car owner,Single,Independent,1930,None,Hunter-ostentatious,None,Student,Blue,40,High,1.73,Mexican,Cash
71,U1072,18.86826,-99.212033,False,Casual drinker,No preference,Family,Public,Single,Independent,1984,Eco-friendly,Thrifty-protector,Christian,Student,Red,50,Medium,1.54,Mexican,"Bank_debit_cards, Cash"
72,U1073,22.15,-100.983,False,Abstemious,Informal,Solitary,Car owner,Widow,Kids,1989,None,Hard-worker,None,Unemployed,Yellow,118,Medium,1.79,American,Cash
73,U1074,18.917,-99.25,True,Casual drinker,No preference,Family,Car owner,Single,Kids,1967,Eco-friendly,Hard-worker,Catholic,Professional,Black,68,Medium,1.7,Sushi,"Bank_debit_cards, Cash"
74,U1075,22.167575,-100.960364,False,Casual drinker,Informal,Family,Car owner,Single,Independent,1991,Technology,Thrifty-protector,Catholic,Student,White,68,Medium,1.6,Mexican,Cash
75,U1076,22.156469,-100.98554,False,Social drinker,Elegant,Family,Public,Married,Kids,1987,Technology,Thrifty-protector,Catholic,Student,Blue,65,Medium,1.71,Mexican,"Visa, Cash, Bank_debit_cards"
76,U1077,22.156469,-100.98554,False,Social drinker,Elegant,Family,Public,Married,Kids,1987,Technology,Thrifty-protector,Catholic,Student,Blue,65,Medium,1.71,Mexican,"Visa, Cash, Bank_debit_cards"
77,U1078,22.172109,-100.963199,True,Social drinker,Informal,Solitary,Car owner,Single,Independent,1983,Variety,Hard-worker,Catholic,Professional,Blue,69,Medium,1.69,Mexican,"Visa, Bank_debit_cards, Cash"
78,U1079,18.917,-99.25,False,Abstemious,Formal,Family,Public,Single,Independent,1992,Technology,Thrifty-protector,Catholic,Unknown,Black,53,Medium,1.55,Mexican,Cash
79,U1080,23.743793,-99.163397,True,Social drinker,Formal,Friends,Car owner,Single,Independent,1987,Variety,Hard-worker,Catholic,Student,White,80,Low,1.82,Mexican,Cash
80,U1081,22.207749,-100.942383,False,Casual drinker,Informal,Family,Public,Single,Independent,1991,Variety,Hard-worker,Catholic,Student,Green,52,Low,1.54,Mexican,Cash
81,U1082,23.753061,-99.166095,True,Abstemious,Informal,Friends,Public,Single,Unknown,1989,Variety,Hard-worker,Catholic,Student,Black,63,Medium,1.69,Mexican,Cash
82,U1083,22.13392,-101.028373,False,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,1981,None,Hard-worker,None,Unknown,Yellow,40,Unknown,1.6,Mexican,Cash
83,U1084,22.172524,-101.005758,True,Casual drinker,Formal,Family,Public,Single,Independent,1991,Variety,Thrifty-protector,Catholic,Student,Red,65,Medium,1.6,Mexican,Cash
84,U1085,22.196787,-100.936335,False,Abstemious,No preference,Solitary,Car owner,Single,Independent,1988,Technology,Thrifty-protector,Catholic,Student,Black,84,Unknown,1.7,Mexican,Cash
85,U1086,22.157281,-100.98444,False,Social drinker,No preference,Family,Car owner,Single,Independent,1991,Variety,Hunter-ostentatious,Catholic,Student,Red,49,Medium,1.59,Italian,"Visa, Bank_debit_cards, Cash"
86,U1087,23.753336,-99.167984,False,Abstemious,No preference,Solitary,Public,Single,Independent,1989,Variety,Thrifty-protector,Catholic,Student,Black,53,Medium,1.55,Chinese,Cash
87,U1088,22.142748,-100.940664,False,Social drinker,Informal,Family,On foot,Single,Independent,1991,None,Hard-worker,Catholic,Student,Blue,62,Medium,1.6,Mexican,
88,U1089,22.162562,-100.99313,True,Casual drinker,Informal,Family,Public,Single,Independent,1990,Variety,Conformist,Catholic,Student,White,54,Low,1.6,Mexican,Cash
89,U1090,22.158473,-100.984268,False,Social drinker,No preference,Friends,Car owner,Single,Independent,1988,Variety,Thrifty-protector,Catholic,Student,Blue,50,Medium,1.54,Tex-mex,Cash
90,U1091,22.154677,-100.949013,False,Casual drinker,No preference,Family,Car owner,Single,Independent,1989,Eco-friendly,Thrifty-protector,None,Student,Red,40,Low,1.7,"American, Mexican",Cash
91,U1092,22.125365,-100.947888,False,Abstemious,Formal,Solitary,Public,Single,Dependent,1990,Variety,Thrifty-protector,Catholic,Unknown,Red,70,Medium,1.69,Game,Cash
92,U1093,18.871654,-99.183251,True,Casual drinker,No preference,Family,Car owner,Single,Independent,1990,Variety,Thrifty-protector,Catholic,Student,Blue,80,Medium,1.67,Japanese,"American_express, Visa"
93,U1094,23.73944,-99.160548,False,Abstemious,Informal,Friends,Public,Single,Independent,1991,Variety,Thrifty-protector,Catholic,Student,Green,59,Medium,1.71,Mexican,Cash
94,U1095,22.179865,-101.018547,False,Abstemious,Formal,Family,Public,Married,Independent,1986,Variety,Thrifty-protector,Catholic,Student,Blue,65,Medium,1.65,Italian,Cash
95,U1096,22.1455,-100.939593,False,Abstemious,Formal,Family,Public,Single,Independent,1990,Eco-friendly,Hard-worker,Catholic,Student,Black,40,Medium,1.2,Mexican,Cash
96,U1097,22.145471,-100.939588,False,Abstemious,Formal,Family,Public,Single,Independent,1990,Variety,Hard-worker,Catholic,Student,Black,58,Medium,1.64,Mexican,Cash
97,U1098,22.182571,-100.963232,False,Social drinker,Formal,Family,Public,Single,Independent,1991,None,Thrifty-protector,Catholic,Student,Green,68,Medium,1.76,Mexican,Cash
98,U1099,22.184862,-100.970535,True,Social drinker,Informal,Family,Public,Single,Independent,1989,Technology,Conformist,Catholic,Student,Purple,70,High,2.0,Mexican,"Cash, Visa"
99,U1100,18.879729,-99.067106,False,Casual drinker,Formal,Friends,Public,Single,Independent,1990,Eco-friendly,Hard-worker,Christian,Student,Black,40,Medium,1.65,Mexican,Cash
100,U1101,22.150891,-100.974891,False,Casual drinker,No preference,Friends,Car owner,Single,Independent,1988,Eco-friendly,Hunter-ostentatious,Catholic,Student,White,50,Low,1.69,"Chinese, Italian, Doughnuts, Afghan, Mexican, Burgers, Latin_american, Contemporary, Cafe-coffee_shop, Family, Cafeteria, Bar, Australian, Hot_dogs, Diner",Cash
101,U1102,22.137131,-100.941151,False,Social drinker,No preference,Friends,On foot,Single,Independent,1989,Eco-friendly,Conformist,None,Student,Black,90,Low,1.78,Pizzeria,Cash
102,U1103,23.752265,-99.16859,False,Abstemious,Formal,Friends,Public,Single,Independent,1989,Technology,Hard-worker,Jewish,Professional,Green,120,Medium,1.9,Mexican,"Cash, Bank_debit_cards"
103,U1104,22.149005,-100.978153,True,Social drinker,No preference,Family,Car owner,Single,Independent,1991,Technology,Hunter-ostentatious,Catholic,Student,Blue,75,Medium,1.71,Italian,"Visa, Cash"
104,U1105,22.120019,-100.950991,False,Social drinker,Formal,Family,Public,Single,Independent,1991,Variety,Hard-worker,Christian,Student,Green,40,Medium,1.74,Cafeteria,Cash
105,U1106,18.927072,-99.173584,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,1930,Technology,Hard-worker,Catholic,Professional,Blue,65,Medium,1.71,Barbecue,"Bank_debit_cards, Cash"
106,U1107,23.742409,-99.171889,False,Abstemious,No preference,Friends,Car owner,Single,Independent,1989,Variety,Hard-worker,Catholic,Unknown,Blue,87,High,1.79,Mexican,"Bank_debit_cards, Cash"
107,U1108,22.143524,-100.987562,False,Abstemious,Informal,Solitary,Public,Single,Independent,1983,Technology,Thrifty-protector,Catholic,Student,Blue,76,Medium,1.81,"Cafe-coffee_shop, Sushi, Latin_american, Deli-sandwiches, Mexican, Hot_dogs, American, Fast_food, Burgers, Asian, Pizzeria, Chinese, Dessert-ice_cream, Cafeteria, Japanese, Game, Family, Seafood","Visa, Cash, Mastercard-eurocard"
108,U1109,22.303308,-101.05468,False,Abstemious,Formal,Solitary,Public,Single,Independent,1989,Eco-friendly,Thrifty-protector,Catholic,Student,Blue,57,Low,1.72,Mexican,Cash
109,U1110,18.871678,-99.183263,False,Abstemious,No preference,Family,Car owner,Single,Independent,1993,Variety,Thrifty-protector,Catholic,Student,Red,85,Medium,1.75,Mexican,Cash
110,U1111,22.143078,-100.908523,True,Casual drinker,Formal,Friends,Car owner,Single,Independent,1991,None,Hard-worker,Catholic,Student,White,69,Medium,1.69,Mexican,Cash
111,U1112,22.143078,-100.908523,True,Casual drinker,Formal,Friends,Car owner,Single,Independent,1991,None,Hard-worker,Catholic,Student,White,69,Medium,1.69,Mexican,Cash
112,U1113,22.137343,-100.913935,False,Casual drinker,Formal,Family,Public,Single,Independent,1990,None,Thrifty-protector,Catholic,Student,Blue,75,Medium,1.73,Burgers,"Visa, Cash"
113,U1114,22.177726,-101.014094,False,Abstemious,No preference,Family,On foot,Single,Independent,1991,Variety,Hard-worker,Catholic,Student,Blue,58,Medium,1.68,Mexican,Cash
114,U1115,22.138127,-100.920512,True,Social drinker,Elegant,Friends,Public,Single,Independent,1990,Variety,Hard-worker,Catholic,Student,Green,76,Low,1.76,Regional,Cash
115,U1116,22.156469,-100.98554,False,Social drinker,Formal,Family,Public,Married,Kids,1987,Technology,Thrifty-protector,Catholic,Student,Blue,40,Medium,1.71,Mexican,"Cash, Bank_debit_cards, Visa"
116,U1117,18.875641,-99.220737,False,Abstemious,No preference,Friends,Public,Single,Independent,1982,Technology,Thrifty-protector,Catholic,Professional,Blue,58,Medium,1.6,Turkish,"Bank_debit_cards, Cash"
117,U1118,18.940062,-99.228172,True,Casual drinker,Informal,Friends,Public,Single,Independent,1987,Technology,Thrifty-protector,None,Student,Black,60,Medium,1.68,Pizzeria,Cash
118,U1119,18.96479,-99.260017,False,Abstemious,Formal,Family,Public,Single,Independent,1992,Eco-friendly,Thrifty-protector,Catholic,Student,Blue,68,Medium,1.68,Mexican,Cash
119,U1120,22.121857,-100.904279,False,Abstemious,Informal,Friends,Public,Single,Independent,1930,Variety,Hard-worker,None,Student,Green,47,Low,1.57,Mexican,Cash
120,U1121,18.871674,-99.183253,False,Social drinker,No preference,Family,Public,Married,Independent,1987,Variety,Thrifty-protector,Catholic,Working-class,Black,90,Medium,1.6,Mexican,"Cash, Bank_debit_cards"
121,U1122,22.169601,-100.991821,Unknown,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,1930,None,Hard-worker,None,Unknown,Yellow,40,Unknown,1.2,Afghan,
122,U1123,23.753112,-99.168567,False,Abstemious,Informal,Family,Unknown,Single,Independent,1987,Technology,Hard-worker,Catholic,Student,Green,110,Medium,1.75,Mexican,Cash
123,U1124,22.137072,-100.918865,False,Casual drinker,Informal,Friends,Public,Single,Independent,1991,None,Hard-worker,Catholic,Student,Blue,51,Low,1.2,Mexican,Cash
124,U1125,22.19204,-100.956935,False,Casual drinker,Formal,Friends,Public,Single,Independent,1990,Technology,Hard-worker,Catholic,Student,White,57,Low,1.67,Mexican,Cash
125,U1126,22.15421,-100.942233,False,Casual drinker,Formal,Friends,On foot,Single,Independent,1990,Technology,Hard-worker,Catholic,Student,Purple,65,Low,1.63,Mexican,Cash
126,U1127,18.943935,-99.206532,False,Abstemious,No preference,Solitary,Public,Single,Independent,1992,Variety,Hard-worker,Catholic,Student,Black,65,Low,1.76,Mexican,Cash
127,U1128,22.187236,-100.994213,False,Casual drinker,No preference,Friends,Public,Single,Independent,1986,Variety,Thrifty-protector,Catholic,Student,Red,66,Low,1.72,"Cafeteria, Hot_dogs, Pizzeria, Mexican",Cash
128,U1129,23.728798,-99.134047,False,Casual drinker,No preference,Friends,Public,Single,Independent,1989,Variety,Thrifty-protector,None,Student,Purple,69,Low,1.69,Mexican,Cash
129,U1130,23.733,-99.133,Unknown,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,1989,None,Hard-worker,None,Unknown,Yellow,40,Unknown,1.2,Mexican,
130,U1131,22.138245,-100.910948,True,Social drinker,No preference,Friends,Car owner,Married,Kids,1990,Eco-friendly,Hard-worker,None,Student,Black,90,Medium,1.8,Mexican,Cash
131,U1132,22.15,-100.983,False,Casual drinker,Informal,Solitary,Public,Single,Unknown,1991,None,Hard-worker,None,Student,Blue,55,Unknown,1.6,Mexican,Cash
132,U1133,18.886698,-99.114979,False,Abstemious,No preference,Family,Car owner,Single,Independent,1991,None,Hard-worker,None,Student,Orange,60,Medium,1.57,Mexican,"Bank_debit_cards, Cash"
133,U1134,22.149654,-100.99861,False,Casual drinker,No preference,Family,Public,Single,Independent,1991,Variety,Hard-worker,Catholic,Student,Black,52,Medium,1.65,Mexican,Cash
134,U1135,22.170396,-100.949936,False,Casual drinker,Informal,Family,On foot,Single,Kids,1988,Variety,Hunter-ostentatious,Catholic,Student,Purple,66,Low,1.54,"Organic-healthy, Steaks, Middle_eastern, Mediterranean, British, Austrian, Israeli, Doughnuts, Pizzeria, Seafood, Fast_food, Moroccan, Hot_dogs, Russian-ukrainian, Malaysian, Burgers, Fusion, Korean, Japanese, Vegetarian, Turkish, Peruvian, Juice, Tapas, Eclectic, African, Basque, Canadian, Afghan, Diner, Irish, Sushi, Polynesian, Bagels, Tex-mex, Cuban, Southwestern, Cafe-coffee_shop, Continental-european, Family, Indian-pakistani, Tea_house, International, Pacific_northwest, Australian, German, Regional, Spanish, Persian, Ethiopian, Romanian, Cambodian, Pacific_rim, Tunisian, Filipino, Dim_sum, Breakfast-brunch, Contemporary, Greek, Thai, Swiss, Bar, Soup, American, Mongolian, Cajun-creole, Armenian, Indigenous, Bar_pub_brewery, Hawaiian, Cafeteria, Lebanese, Chinese, Portuguese, Caribbean, Indonesian, Hungarian, Bakery, Dutch-belgian, Deli-sandwiches, Kosher, Fine_dining, Jamaican, Tibetan, Latin_american, Southeast_asian, Eastern_european, Mexican, Burmese, California, Game, Italian, Scandinavian, Chilean, Polish, North_african, Asian, Vietnamese, Barbecue, French, Brazilian, Southern, Dessert-ice_cream",Cash
135,U1136,22.149607,-100.997235,True,Social drinker,No preference,Friends,Car owner,Single,Independent,1990,Retro,Thrifty-protector,Catholic,Student,Black,50,Low,1.6,Mexican,Cash
136,U1137,22.144803,-100.944623,False,Social drinker,Formal,Family,Public,Single,Independent,1989,Eco-friendly,Hard-worker,Catholic,Student,Blue,72,Low,1.78,Mexican,Cash
137,U1138,22.152884,-100.939663,False,Social drinker,Formal,Friends,Public,Single,Independent,1991,Variety,Thrifty-protector,None,Student,Blue,54,Medium,1.55,Pizzeria,Cash
